company,city,state,industry,employees,intent topics,description,acct #
Wea Insurance Corp.,Madison,Wisconsin,Insurance,336,Enterprise Resource Planning; Advanced Analytics; Compliance; Encryption; Artificial Intelligence; Disaster Recovery; Business Continuity; Digital Transformation,WEA Trust offers long-term care and life insurance services primarily aimed at individuals who have served in the education sector in Wisconsin. The company provides resources and support for navigating insurance claims and understanding policy benefits. Their mission is to ensure peace of mind for educators and their families regarding long-term care and life insurance needs. WEA Trust also engages in community support through initiatives like the Educator Grant Program.,41599257
Wea Trust,Madison,Wisconsin,Insurance,336,Enterprise Resource Planning; Advanced Analytics; Compliance; Encryption; Artificial Intelligence; Disaster Recovery; Business Continuity; Digital Transformation,WEA Trust offers long-term care and life insurance services primarily aimed at individuals who have served in the education sector in Wisconsin. The company provides resources and support for navigating insurance claims and understanding policy benefits. Their mission is to ensure peace of mind for educators and their families regarding long-term care and life insurance needs. WEA Trust also engages in community support through initiatives like the Educator Grant Program.,41599257
Westminster Village West Lafayette Inc.,West Lafayette,Indiana,Healthcare Services,266,App Analytics Companies; Amazon Web Services (AWS),"Westminster Village is a Life Plan Community located in West Lafayette, Indiana, offering a full range of senior living options, including Independent Living, Assisted Living, Skilled Nursing, and Memory Care. Designed with modern amenities and a commitment to wellness, it provides residents with a vibrant lifestyle enhanced by community and social activities. As a non-profit organization, the village prioritizes residents' well-being, providing financial assistance to those in need and ensuring that all profits benefit the community. Situated near Purdue University, Westminster Village fosters connections among residents and actively participates in local charitable initiatives.",130793860
Westshore Companies Inc.,Gallatin,Missouri,Business Services,22,,"Westshore Companies Inc is a company that operates in the Information & Document Management industry. It employs 20to49 people and has 1Mto5M of revenue. The company is headquartered in Gallatin, Missouri.",1125868575
Whiteco Industries Inc.,,,,,,,
White's Residential and Family Services Inc.,Wabash,Indiana,Organizations,290,App Analytics Companies,"For over 170 years, Josiah White’s Home has been dedicated to assisting families in crisis and transition through a comprehensive continuum of services, including foster care, residential treatment, and family preservation programs. The organization offers specialized programs such as Substance Use Recovery, Sexually Harmful Behavior Recovery, and a Behavioral Treatment Program for youth. Josiah White’s is committed to supporting and training foster families, ensuring they are never alone in their challenges. Their mission is to provide hope and transformation through Christ to children, teens, and families.",562350828
Whitewater Bancorp Inc.,Whitewater,Wisconsin,Insurance,54,,Browse below to see what our clients have to say about us. My wife and I have used Banco Insurance and Kaseys help for many years. Kasey has always been a great help and never tried to push more coverage on things or amounts she thought we really did not need. Companies we are proud to represent!,9800664
Wight & Company,Chicago,Illinois,Construction,166,Digital Transformation; Environmental Regulations; Autonomous Intelligence and Agentic AI,"Wight & Company is an integrated design and delivery firm focused on transforming environments to enhance guest experiences and support community needs. They specialize in innovative engineering and design solutions for various sectors, including education, mental health care, and economic development. Their intended clients include educational institutions, government agencies, and organizations seeking sustainable and secure facilities. With a commitment to building a better world, they aim to deliver unprecedented savings in cost and time through their collaborative approach.",42156556
Wild Blue Technologies,De Pere,Wisconsin,Business Services,89,Data Center Migration,"Wild Blue Technologies is a premier experiential design agency that specializes in brand strategy, category innovation, branded environments, and virtual experiences. They focus on creating innovative solutions that drive brand growth and expand market categories by leveraging consumer behavior insights and emerging technologies. Their services include retail brand strategy, innovation centers, and brand activations, supported by in-house fabrication and installation teams. Wild Blue aims to enhance customer relationships and boost brand presence through strategic ingenuity and accountability.",353928704
Winfertility Inc.,Greenwich,Connecticut,Hospitals & Physicians Clinics,126,Enterprise Contact Center; Generative AI; Environmental Regulations,"For more than 20 years, WINFertility has been managing family-building benefits that are delivered with care and support by the highest quality providers. WIN is the largest, most experienced fertility benefit management company in the country. It offers inclusive family-building solutions to organizations, health plans, and individual patients. From integrated fertility management, including medical treatment, pharmacy, and reproductive genetics, to surrogacy and adoption, WINs mission is to help build families by providing access to the best network of doctors, technology, and emotional support at the lowest cost. WINs managed fertility programs include an integrated medical and pharmaceutical model that is unique to the industry. Its dedicated nurse care managers, all with experience in reproductive endocrinology clinics, guide employees through every step of their fertility journey and are available 24/7. WIN is focused on improving clinical outcomes for patients. This means safer pregnancies, reduced healthcare costs, and the best use of employee benefit dollars. WINs managed solutions are flexible and can be delivered using the WIN network or fully integrated with an organizations chosen insurance carrier and PBM. All programs can be implemented at any time during the benefit renewal cycle.",347568309
